구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2022년02월28일,2051.30,1953.14,1949.41,1932.97,1911.89,1934.00,1946.05,1965.87,1957.83,1923.05,1952.51,1941.64,1914.41,1959.12,1944.68,2126.67,1973.63
2022년03월01일,2062.39,1955.94,1956.13,1937.38,1920.33,1942.46,1955.55,1972.45,1962.27,1938.41,1964.33,1946.70,1925.89,1962.79,1948.75,2126.67,1978.63
2022년03월02일,2064.21,1958.01,1958.51,1940.27,1923.69,1946.31,1959.05,1974.83,1965.63,1943.57,1966.63,1950.14,1930.70,1966.93,1949.09,2126.67,1978.63
2022년03월03일,2070.38,1968.25,1967.63,1949.11,1925.87,1957.44,1965.55,1979.94,1972.97,1943.84,1977.35,1957.05,1933.67,1975.12,1958.46,2126.67,1986.13
2022년03월04일,2085.01,1984.87,1986.79,1960.17,1942.16,1971.84,1985.05,1990.39,1983.17,1964.27,1994.69,1973.30,1954.22,1986.49,1977.53,2126.67,2011.13
2022년03월05일,2100.95,1992.27,2000.27,1972.95,1944.82,1983.92,1999.30,2002.28,1994.81,1973.73,2005.83,1991.44,1963.67,1999.23,1994.73,2164.17,2026.00
2022년03월06일,2106.03,1996.78,2004.95,1979.48,1948.89,1996.67,2021.90,2013.33,2005.87,1985.62,2018.65,2001.77,1965.52,2003.42,1998.64,2164.17,2038.50
2022년03월07일,2115.86,2018.84,2017.25,1995.86,1953.47,2008.79,2032.70,2023.49,2011.28,1993.32,2031.62,2015.02,1970.70,2012.12,2015.15,2171.67,2049.75
2022년03월08일,2146.99,2091.80,2046.36,2025.78,1996.55,2072.92,2070.75,2057.73,2048.35,2016.69,2065.55,2034.53,2010.85,2041.70,2059.03,2276.33,2074.75
2022년03월09일,2173.16,2141.05,2071.66,2062.17,2046.40,2088.15,2107.80,2087.01,2066.59,2066.69,2098.19,2054.70,2057.33,2077.84,2102.51,2276.33,2104.75
2022년03월10일,2196.04,2147.96,2091.64,2093.19,2060.56,2117.62,2132.65,2111.24,2076.22,2080.86,2112.87,2067.40,2077.74,2101.40,2112.25,2276.33,2109.75
2022년03월11일,2225.54,2186.68,2137.92,2124.44,2096.09,2157.56,2170.90,2136.17,2106.02,2117.64,2162.38,2094.65,2120.37,2117.26,2143.39,2276.33,2170.00
2022년03월12일,2255.97,2202.16,2162.83,2155.00,2112.27,2176.54,2192.55,2166.69,2131.50,2137.31,2179.45,2118.19,2127.93,2142.40,2159.12,2378.00,2180.00
2022년03월13일,2258.64,2213.06,2166.95,2164.95,2115.44,2178.79,2208.65,2175.57,2149.32,2139.81,2192.60,2130.51,2130.15,2150.81,2162.34,2378.00,2192.50
