,date_oil,area_unique,oil_price,oil_unique
603,2022-08-27,a-2,1713.75,o-01
604,2022-08-28,a-2,1713.51,o-01
605,2022-08-29,a-2,1713.56,o-01
606,2022-08-30,a-2,1715.86,o-01
607,2022-08-31,a-2,1717.08,o-01
608,2022-09-01,a-2,1717.92,o-01
609,2022-09-02,a-2,1717.12,o-01
610,2022-09-03,a-2,1715.74,o-01
611,2022-09-04,a-2,1715.08,o-01
612,2022-09-05,a-2,1714.99,o-01
613,2022-09-06,a-2,1715.05,o-01
614,2022-09-07,a-2,1714.63,o-01
615,2022-09-08,a-2,1714.8,o-01
616,2022-09-09,a-2,1713.66,o-01
617,2022-09-10,a-2,1713.73,o-01
618,2022-09-11,a-2,1712.98,o-01
619,2022-09-12,a-2,1711.83,o-01
620,2022-09-13,a-2,1714.1,o-01
621,2022-09-14,a-2,1712.84,o-01
622,2022-09-15,a-2,1714.44,o-01
623,2022-09-16,a-2,1713.96,o-01
624,2022-09-17,a-2,1713.24,o-01
625,2022-09-18,a-2,1712.33,o-01
626,2022-09-19,a-2,1711.22,o-01
627,2022-09-20,a-2,1707.45,o-01
628,2022-09-21,a-2,1703.97,o-01
629,2022-09-22,a-2,1702.18,o-01
630,2022-09-23,a-2,1700.29,o-01
631,2022-09-24,a-2,1696.39,o-01
632,2022-09-25,a-2,1693.52,o-01
